year,n
1880,10000
1881,11000
1882,11500
1883,12048
1884,12548
1885,13115
1886,13815
1887,14000
1888,14289
1890,15634
1892,16098
1894,16879
1895,17128
1896,18123
1897,19653
1899,20128
1900,22982
1902,25129
1903,26190
1904,28129
1905,28098
1906,30129
1907,32329
1908,34547
1909,37098
1911,40127
1913,44129
1916,51000
1918,54129
1920,57129
1923,61209
1927,69812
1931,80000
1932,90000
1933,113500
1935,168500
1937,178500
1940,170500
1943,174500
1945,160000
1946,155000
1948,149000
1950,143000
1953,135000
1958,129000
1960,120000
1963,114000
1965,109000
1967,100000
1968,97000
1969,95000
1970,92000
1971,89000
1973,85000
1975,80000
1976,77000
1977,74000
1979,70000
1981,67000
1982,66000
1985,60000
1987,50000
1989,47000
1991,45000
1993,42000
1995,41000
1997,40000
1999,39000
2000,38500
2001,38100
2002,37346
2003,36891
2004,36123
2005,35129
2006,35120
2007,34239
2008,33123
2009,32132
2010,30879
2011,29234
2012,28904
2013,27439
2014,26903
2015,25127
